timestamp,previous_mode,new_mode,trigger_type,rtt_ms,bandwidth_kbps,error_rate_pct,inference_ms,network_ok,bandwidth_ok,polls_confirmed,reason
2026-05-20 17:15:29,LOCAL,CLOUD,RECOVERY,10.58,2452.09,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 17:15:35,LOCAL,CLOUD,HYSTERESIS,0.84,2937.19,0.00,166.62,1,1,3,
2026-05-20 17:15:51,CLOUD,LOCAL,HYSTERESIS,184.66,54.60,0.00,345.69,1,0,3,
2026-05-20 17:15:57,LOCAL,CLOUD,HYSTERESIS,0.78,1786.05,0.00,201.96,1,1,3,
2026-05-20 17:16:25,CLOUD,LOCAL,FALLBACK,41.80,191.91,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 17:16:35,LOCAL,CLOUD,RECOVERY,0.80,5447.15,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 17:16:41,LOCAL,CLOUD,HYSTERESIS,0.85,5456.01,0.00,196.23,1,1,3,
2026-05-20 17:17:09,CLOUD,LOCAL,FALLBACK,41.21,181.87,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 17:17:17,LOCAL,CLOUD,RECOVERY,0.82,6552.32,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 17:17:23,LOCAL,CLOUD,HYSTERESIS,0.84,1207.78,0.00,192.66,1,1,3,
2026-05-20 17:17:52,CLOUD,LOCAL,FALLBACK,85.91,157.56,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 17:18:00,LOCAL,CLOUD,RECOVERY,0.84,4155.86,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 17:18:06,LOCAL,CLOUD,HYSTERESIS,0.84,5976.92,0.00,181.66,1,1,3,
2026-05-20 17:18:35,CLOUD,LOCAL,FALLBACK,80.77,205.30,0.00,0.00,1,1,0,cloud_infer failed 3x consecutively
2026-05-20 17:18:43,LOCAL,CLOUD,RECOVERY,0.80,4069.18,0.00,0.00,1,1,5,cloud_infer failed 3x consecutively
2026-05-20 17:18:49,LOCAL,CLOUD,HYSTERESIS,0.79,6179.45,0.00,372.27,1,1,3,
2026-05-21 04:54:57,LOCAL,CLOUD,HYSTERESIS,37.88,206.80,0.00,165.54,1,1,3,
2026-05-21 04:56:03,LOCAL,CLOUD,HYSTERESIS,46.11,286.47,0.00,158.99,1,1,3,
2026-05-21 11:31:42,LOCAL,CLOUD,HYSTERESIS,7.66,10944.04,0.00,122.86,1,1,3,
2026-05-21 11:45:48,LOCAL,CLOUD,HYSTERESIS,0.50,9167.88,0.00,170.17,1,1,3,
2026-05-21 11:51:27,LOCAL,CLOUD,HYSTERESIS,0.56,8272.79,0.00,-1.00,1,1,3,
2026-05-21 13:12:34,LOCAL,CLOUD,HYSTERESIS,0.54,988.29,0.00,154.86,1,1,3,
2026-05-21 13:16:43,LOCAL,CLOUD,HYSTERESIS,7.21,8496.94,0.00,-1.00,1,1,3,
2026-05-21 13:17:06,CLOUD,LOCAL,HYSTERESIS,23.76,161.36,0.00,7780.03,1,1,3,
2026-05-21 13:20:55,LOCAL,CLOUD,HYSTERESIS,5.45,8154.18,0.00,190.87,1,1,3,
2026-05-21 13:21:49,CLOUD,LOCAL,HYSTERESIS,21.31,328.01,0.00,258.04,1,1,3,
2026-05-21 16:56:19,LOCAL,CLOUD,HYSTERESIS,0.56,7371.36,0.00,-1.00,1,1,1,
2026-05-21 16:56:21,CLOUD,LOCAL,HYSTERESIS,0.56,7371.36,0.00,-1.00,1,1,1,
2026-05-21 16:56:27,LOCAL,CLOUD,HYSTERESIS,0.50,8144.28,0.00,-1.00,1,1,1,
2026-05-21 16:56:31,CLOUD,LOCAL,HYSTERESIS,0.57,7168.22,0.00,-1.00,1,1,1,
2026-05-21 17:21:11,LOCAL,CLOUD,HYSTERESIS,0.63,7911.92,0.00,-1.00,1,1,1,
2026-05-21 17:21:13,CLOUD,LOCAL,HYSTERESIS,0.59,6832.50,0.00,-1.00,1,1,1,
2026-05-21 17:22:53,LOCAL,CLOUD,HYSTERESIS,0.49,6101.92,0.00,-1.00,1,1,1,
2026-05-21 17:27:17,LOCAL,CLOUD,HYSTERESIS,0.55,6537.00,0.00,-1.00,1,1,1,
