timestamp,poll_id,rtt_ms,bandwidth_kbps,cpu_load,ram_usage,gpu_load,gpu_temp,prev_rtt_ms,rtt_delta,rtt_trend,avg_bw_last_6s,local_latency_ms,cloud_latency_ms,queue_depth,error_rate_pct,network_ok,bandwidth_ok,offload_ok,prob,raw_decision,pending_mode,pending_count,previous_mode,current_mode,transition,push_ok,pipeline_action
2026-05-21 16:54:47,47,0.69,3734.08,4.55,85.10,0.00,37.50,0.67,0.02,stable,3887.45,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:49,48,0.69,3734.08,7.01,85.12,9.10,37.50,0.69,0.00,stable,3807.98,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:51,49,0.74,3421.48,9.69,85.11,0.00,37.50,0.69,0.05,stable,3650.35,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:53,50,0.74,3116.70,8.32,85.12,0.00,37.50,0.74,-0.00,stable,3501.58,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:55,51,0.74,3116.70,7.67,85.12,0.00,37.00,0.74,0.00,stable,3347.24,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:57,52,0.65,3685.28,6.24,85.15,0.00,37.00,0.74,-0.10,stable,3335.04,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:54:59,53,0.62,3836.98,8.86,85.15,0.00,37.00,0.65,-0.03,stable,3438.92,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:01,54,0.62,3836.98,6.22,85.15,0.00,37.00,0.62,0.00,stable,3618.99,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:03,55,0.66,3602.58,8.42,85.15,3.50,37.00,0.62,0.04,stable,3740.46,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
2026-05-21 16:55:05,56,0.66,3602.58,6.49,85.15,0.00,37.00,0.66,0.00,stable,3719.78,-1.00,-1.00,0,0.00,1,1,0,0.499,LOCAL,,0,LOCAL,LOCAL,0,0,none
